event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,reason
JOLTS,2018-03-16T09:00:00-05:00,2018-03-16,BLS,January 2018,no_pinned_oanda_candidate
JOLTS,2018-04-13T09:00:00-05:00,2018-04-13,BLS,February 2018,no_pinned_oanda_candidate
JOLTS,2018-05-08T09:00:00-05:00,2018-05-08,BLS,March 2018,no_pinned_oanda_candidate
JOLTS,2018-06-05T09:00:00-05:00,2018-06-05,BLS,April 2018,no_pinned_oanda_candidate
JOLTS,2018-07-10T09:00:00-05:00,2018-07-10,BLS,May 2018,no_pinned_oanda_candidate
JOLTS,2018-08-07T09:00:00-05:00,2018-08-07,BLS,June 2018,no_pinned_oanda_candidate
JOLTS,2018-09-11T09:00:00-05:00,2018-09-11,BLS,July 2018,no_pinned_oanda_candidate
JOLTS,2018-10-16T09:00:00-05:00,2018-10-16,BLS,August 2018,no_pinned_oanda_candidate
JOLTS,2018-11-06T09:00:00-06:00,2018-11-06,BLS,September 2018,no_pinned_oanda_candidate
JOLTS,2018-12-10T09:00:00-06:00,2018-12-10,BLS,October 2018,no_pinned_oanda_candidate
JOLTS,2019-01-08T09:00:00-06:00,2019-01-08,BLS,November 2018,no_pinned_oanda_candidate
JOLTS,2019-02-12T09:00:00-06:00,2019-02-12,BLS,December 2018,no_pinned_oanda_candidate
JOLTS,2019-03-15T09:00:00-05:00,2019-03-15,BLS,January 2019,no_pinned_oanda_candidate
